,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
20130503,104.77,69.26,34.99,91.47,84.72,118.42,20.05,40.73,52,86.98,21.67,142.99,72.01,23.09,199.2,82.71,45.96,98.82,43.77,32.3,63.52,27.79,75.82,82.9,57.74,90.69,49.91,177.86,76.87,64.01
20130506,104.78,69.09,34.75,91.91,85.32,118.18,20.03,40.57,51.95,87.52,21.68,146.02,73.28,23.04,197.52,81.68,46.55,98,43.11,32.55,62.94,27.56,75.4,82.81,58.99,91.06,49.32,177.22,76.47,64.27
20130507,104.95,69.27,35.15,92.49,87.46,117.98,19.62,41.17,52.69,88.07,21.78,146.88,73.1,23.27,198.35,82.5,47.48,98.22,43.39,32.13,62.9,27.86,75.58,83.5,59.29,91.43,50.14,178.11,76.47,65.26
20130508,105.13,69.34,35.45,92.23,87.96,118.29,19.95,40.94,52.73,88.6,22.09,147.8,73.44,23.37,200.44,82.43,48.08,96.93,43.12,31.82,62.89,27.8,76.07,84.72,61.26,91.93,50.32,177.59,76.36,65.19
20130509,106.8,69.24,34.98,92.79,87.61,118.56,20.05,40.61,53.39,88.56,21.87,146.11,73.87,23.47,198.89,82.13,47.38,95.72,43.6,31.5,62.73,27.67,75.84,83.92,60.77,92.3,49.94,176.91,76.51,65.86
20130510,107.35,69.11,35,92.43,86.32,118.17,20.31,40.64,53.47,87.7,21.99,146.66,74.01,23.61,200.1,82.72,47.31,96.21,44.04,31.53,63.73,27.79,76.38,83.95,61.65,92.77,50.11,177.08,76.98,66.38
20130513,107.37,68.82,34.67,92.94,85.78,117.8,20.48,40.68,52.92,87.66,21.94,147.18,74.65,23.2,198.14,82.81,47.99,96.38,44.25,31.86,63.62,28.42,76.21,83.96,61.14,92.48,49.79,177.26,76.6,66.5
20130514,107.45,70.52,34.88,94.26,85.28,119.86,20.48,41,53.61,88.64,22.09,151.99,75.29,22.97,198.86,83.89,48.53,97.17,44.71,32.57,64.86,28.45,77.06,85.32,60.49,93.44,50.38,178.64,76.88,66.65
20130515,108.34,71.77,35.16,95.16,84.74,118.91,20.42,41.38,53.99,88.77,22.32,153.07,75.83,23.32,198.97,84.54,49.36,97.89,44.79,32.88,64.78,28.6,78.24,85.21,60.37,93.84,50.78,180.39,77.93,66.84
20130516,107.92,71.23,35.02,94.72,84.53,118.66,23,41.55,53.93,88.24,22.34,151.95,74.73,23.07,200.31,84.35,49.25,97.09,44.44,33.1,63.42,28.3,77.77,84.32,60.89,93.22,50.41,178.45,76.6,65.66
20130517,108.23,72.31,35.08,97.02,85.39,119.3,23.34,41.43,54.32,89.27,22.53,155.59,74.84,23.16,203.98,84.97,50.53,97.5,44.08,33.87,64.28,28.02,77.6,83.96,61.58,95.35,50.55,183.18,75.99,65.77
20130520,108.55,73.37,34.87,96.82,86.04,120.62,23.06,40.86,54.36,90.01,22.63,156.3,74.74,23.2,203.16,84.89,50.52,97.5,43.33,34.07,64.29,27.77,76.7,83.04,61.31,95.23,49.97,180.24,75.53,65.31
20130521,108.83,74.07,34.61,96.85,85.81,121.74,23.11,40.82,54.8,90.28,22.72,158.1,76.64,23.27,204.19,85.45,51.23,98.07,45.36,33.85,64.19,27.85,76.41,81.18,61.61,95.55,49.34,180.18,75.52,65.03
20130522,108.26,73.41,34.31,96.05,85.42,120.76,22.47,40.74,54.01,89.69,22.91,156.74,77.59,23.19,202.56,85.33,51.82,97.69,44.77,33.62,63.43,28.35,76.43,81.31,61.03,94.27,48.77,178.78,75.17,64.77
20130523,107.89,73.66,34.42,97.83,84.69,121.22,22.63,40.43,53.8,89.3,22.72,154.84,76.83,23.17,201.75,84.75,51.55,97.01,45.36,33.17,62.32,28.16,76.32,81.05,61.11,93.53,49.16,176.76,74.49,64.43
20130524,107.75,74.23,34.43,98.08,83.97,121.26,22.65,40.73,53.8,89.05,22.59,156.13,76.91,23.05,201.32,84.37,51.85,96.3,45.2,33.29,61.79,28.1,79.4,81.15,60.82,93.09,48.69,179.09,75.44,64.69
20130528,109.04,75.11,33.9,98.19,83.95,122.21,23,41.02,54.32,89.87,22.66,158.57,77.72,23.2,203.34,85.14,52.76,97.21,45.64,34.02,62.28,28.07,78.41,80.78,62.07,94,48.15,178.68,75.45,65.88
20130529,108.59,74.78,33.65,97.19,84.24,121.3,23.22,39.92,54.45,89.58,22.7,160.71,77.4,23.39,203.47,83.24,52.82,95.1,44.92,33.88,61.93,27.36,76.51,81.22,62.08,93.17,46.97,176.8,74.39,65.45
20130530,108.88,75.09,33.26,98.61,84.17,120.94,23.46,39.31,54.72,89.59,22.66,162.17,77.35,23.33,204.88,83.57,53.74,93.93,45.11,34.03,61.62,27.33,76.7,82.08,63.36,93.99,46.5,179.67,73.8,63.86
20130531,107.75,74.66,32.78,97.12,83.57,118.65,23.22,38.56,54.22,88.02,22.39,159.94,76.59,23.4,203.57,81.81,52.75,93.45,44.76,33.9,60.88,26.35,74.44,81.26,61.37,92.95,45.93,176.8,73.03,62.31
20130603,108.09,75.41,32.86,98.8,83.89,119.95,23.47,39.35,54.55,88.98,22.7,161.4,77,24.32,204.48,82.32,52.65,94.8,46.44,34.57,62.24,26.85,75.31,81.3,61.54,93.27,46.1,178.83,73.86,63.02
20130604,107.51,75.01,33.42,97.7,83.69,118.86,23.45,39.94,54.22,88.33,22.72,159.54,74.98,24.44,201.78,81.73,52.21,95.19,47.39,33.99,61.99,26.76,75.03,81.36,61.11,92.34,46.27,178.84,74.1,63.57
20130605,106.11,73.73,33.04,96.6,82.23,117.51,23.41,39.19,53.08,87.22,22.39,156.21,73.49,23.8,198.4,81.32,51.24,93.3,46.71,33.78,60.97,26.59,74.34,79.83,60.51,91.1,45.76,175.89,73.43,62.35
20130606,106.19,75.18,33.55,97.84,81.82,116.57,23.63,39.33,53.25,87.78,22.45,157.57,75.6,23.75,199.44,82.08,51.69,93.56,46.58,33.96,61.38,27.2,74.49,79.83,60.68,90.85,47.35,178,73.8,62.37
20130607,108.58,76.96,33.22,100.52,82.45,117.64,23.58,39.93,53.88,88.97,22.91,163.81,77.05,23.69,201.94,82.52,52.44,95.1,46.19,34.65,61.96,27.34,75.4,81.49,61.32,92.56,47.6,178.59,74.49,64.06
20130610,108.28,77.2,33.72,100.28,81.62,118.6,23.45,39.7,53.96,88.65,22.83,165.27,76.06,24.1,200.64,82.74,52.52,96.31,46.45,34.45,62.25,27.45,75.71,81.35,62.4,92.21,47.88,180.96,73.92,63.05
20130611,107.71,75.46,33.51,99.8,81.35,117.4,23.17,39.33,53.31,88.01,22.64,161.15,75.94,23.81,199.62,82.3,51.68,95.06,45.58,33.84,61.37,27.5,75.75,80.16,62.65,91.76,47.54,178.31,73.43,63.02
20130612,106.54,73.69,33.37,98.94,81.05,115.97,23.1,39.21,52.71,87.31,22.57,159.72,74.76,23.57,196.9,81.38,51.38,95.07,45.29,34,60.64,27.51,75.25,79.54,62.55,90.78,47.28,177.8,73.03,62.22
20130613,108.66,74.17,34.01,100.2,82.93,117.6,23.44,39.23,52.37,88.85,22.74,163.63,74.89,24.08,199.41,82.52,52.34,95.69,46.33,33.72,60.98,28.14,76.06,80.86,63.14,92.35,47.98,180.88,73.19,63.52
20130614,108.5,71.96,33.65,99.87,81.69,116.27,23.19,39.16,51.2,88.12,22.58,160.76,74.94,24.01,197.88,82.52,51.33,95.24,46.38,33.41,61.11,28.15,75.67,80.23,62.8,92.09,48.39,179.57,73.06,63.02
20130617,109.36,72.82,33.51,101.05,81.74,117.18,23.78,39.49,52.19,89.03,22.82,161.94,74.5,24.19,198.7,83.22,52.03,95.55,46.24,34,61.16,28.21,76.57,81.28,63.36,93.03,48.05,180.98,73.14,63.7
20130618,110.39,73.94,33.89,102.08,82.35,117.47,23.89,39.74,52.5,89.44,23.36,161.98,75.53,24.54,200.49,83.93,52.28,96.53,46.19,33.98,61.37,28.45,76.65,82.12,64.65,94.2,48.84,182.63,73.9,64.49
20130619,109.02,73.2,33.03,100.29,82.06,116.48,23.76,39.23,51.97,88.53,23.03,159.42,74.3,24.09,197.62,82.47,51.74,95.62,46.02,33.6,60.97,28.16,75.26,80.36,64.23,92.25,47.42,181.26,72.66,63.55
20130620,106.3,71.91,32.18,97.73,81.04,114.01,23.53,37.99,51.11,86.64,22.5,153.35,72.28,23.31,193.13,80.29,50.71,93.66,44.79,32.53,60.02,27.71,72.97,77.91,62.8,90.45,46.39,177.12,71.27,61.22
20130621,107.09,72.3,32.3,98.06,80.96,114.96,23.57,38.6,51.43,87.05,22.61,152.21,72.23,23.32,191.28,80.86,50.2,94.09,45.46,32.32,59.81,27.54,75.09,77.22,62.89,90.29,46.92,178.15,71.73,61.97
20130624,105.05,71.01,32.29,95.97,79.4,112.92,23.16,38.38,51.18,86.08,22.19,148.78,71.93,22.72,189.4,82.23,49.2,94.15,44.89,32.75,59.2,26.81,74.26,76.03,63.63,89.61,46.54,176.93,72.41,61.68
20130625,105.77,72.22,32.82,96.77,80.19,113.53,23.11,38.56,51.4,86.69,22.37,151.03,72.55,23.01,190.81,82.95,50.32,94.37,44.72,32.71,59.63,27.08,74.37,76.6,62.73,89.9,47.79,179.11,72.57,61.81
20130626,107.18,72.88,33.1,98.81,79.97,114.21,23.48,39.15,52.03,87.36,22.5,149.65,74.04,23.14,190.69,84.54,50.73,95.65,45.16,33.37,61.07,27.19,75.06,77.92,63.76,91.07,48,181.28,73.2,62.44
20130627,107.73,74.08,33.38,101.17,80.81,114.75,23.71,39.09,52.07,87.6,22.57,151.48,74.63,23.17,191.47,84.27,51.35,96.43,45.73,33.63,61.54,27.26,75.32,78.46,65.05,91.59,48.32,182.87,73.44,62.94
20130628,106.86,73.73,33.17,100.47,80.35,114.39,23.43,38.94,51.03,87.9,22.45,149.25,75.81,23.35,187.02,83.44,51.01,95.8,44.93,33.55,62.88,27.1,74.66,78.05,64.45,91.03,47.7,181.38,72.69,62.38
20130701,106.82,74.59,33.07,101.26,80.57,115.11,23.6,39.28,51.24,87.85,22.59,149.74,75.22,23.02,187.19,84.19,50.72,96.6,44.8,33.38,61.55,26.88,75.66,79.21,64.6,92.79,47.71,183.83,72.79,63.15
20130702,106.25,73.81,33.29,99.52,80.34,115.17,23.58,39.19,51.07,88.18,22.16,148.92,75.65,22.86,187.41,84.13,51.39,96.7,45.03,32.97,61.83,26.8,76.07,77.95,64.24,91.87,47.97,183.85,72.9,62.49
20130703,106.95,73.77,33.37,100.91,79.72,115.11,23.84,39.31,50.93,88.23,22.17,148.44,76.06,22.89,189.12,84.34,51.36,97.11,45.03,33.04,62.07,26.75,76.19,78.52,64.51,92.78,48.33,185.63,72.95,62.83
20130705,109,75.48,33.57,102.2,80.01,116.49,23.82,39.34,51.51,89.09,22.49,151.21,76.61,23.18,190.76,85.39,52.55,96.63,45.62,33.23,62.84,27.06,75.97,79.44,65.13,94.55,48.61,189.35,73.39,63.04
20130708,109.57,76.21,33.76,102.36,81.04,117.2,23.88,39.36,52.25,89.75,22.57,151.77,77.52,22.35,190.81,86.09,53.24,96.65,45.86,33.35,62.92,27.22,76.38,79.85,66.5,94.99,48.97,186.68,74.86,63.92
20130709,110.76,76.77,33.78,102.67,83.11,119.16,24.39,39.64,52.4,90.81,22.86,154.86,77.99,22.3,187.21,86.38,53.42,96.76,46.06,33.37,63.13,27.43,77.16,80.13,66.9,96.01,48.77,185.79,75.17,64.15
20130710,110.84,75.5,33.58,103.47,82.75,118.8,24.63,39.49,52.41,90.3,22.78,153.77,77.69,22.4,188.14,86.73,53.36,96.75,46.39,33.71,62.8,27.52,77.38,79.66,66.62,95.78,48.37,185.3,74.91,64.12
20130711,111.92,76.11,34.04,104.83,84.45,119.64,25.08,39.83,53.01,90.74,23.17,155.62,78.14,23.12,188.68,87.14,53.67,97.53,46.73,34.67,62.92,27.84,78.32,80.77,67.28,97.64,49.01,188.53,75.75,65.77
20130712,112.51,77.48,33.98,99.91,84.91,119.92,25.15,39.83,52.88,90.87,23,157.99,78.81,23.03,187.96,87.45,53.5,98.3,46.95,34.65,62.87,27.87,79.08,82.21,66.93,97.78,48.25,189.29,75.75,66.16
20130715,112.23,77.01,33.73,103.63,85.13,120.52,25.14,39.81,53.1,90.72,22.87,160.84,78.67,23.07,189.85,87.85,53.42,97.5,46.93,35.13,62.55,27.86,79.04,81.33,66.56,98.18,47.82,188.82,75.17,65.13
20130716,111.73,77.42,34.05,102.23,85.88,119.98,24.93,39.06,52.85,90.77,22.68,158.12,78.5,23.37,189.7,87.85,53.54,97.62,46.65,35.23,61.91,27.75,78.52,81.28,65.86,97.94,48.12,187.96,75.5,64.24
20130717,112.02,75.97,34.12,102.78,84.42,120.2,24.93,39.65,55.64,90.93,22.78,159.36,78.71,23.27,190.39,87.59,53.79,96.87,46.55,34.72,62.53,27.75,78.25,82.03,65.19,98.79,48.56,188.21,75.33,64.56
20130718,112.85,73.21,33.91,105.56,84.08,121.28,25.07,39.62,55.86,91.82,22.87,161.89,78.3,22.39,193.76,87.63,54.86,96.94,45.85,34.42,62.52,27.56,78.45,82.55,69.44,99.26,47.83,189.57,75.47,65.02
20130719,113.54,73.26,33.98,104.91,84.01,122.68,25.03,39.89,55.54,92.59,23.93,162.18,78.17,22.2,189.4,89.63,54.66,97.03,46.23,30.5,62.55,28.15,79.5,82.68,70.33,100.38,47.81,188.49,76.19,64.37
20130722,113.63,73.91,33.76,104.81,84.35,122.79,24.93,39.65,55.57,92.26,24.06,164.05,78.28,21.94,189.94,89.68,55.05,94.43,46.16,31.09,62.49,28.4,79.35,83.43,71.04,100.01,48.11,189.78,75.99,63.61
20130723,114.09,73.6,33.98,105.72,83.88,123.01,24.78,39.76,55.52,92.62,23.92,164.06,78.47,21.92,190.81,89.82,55.15,93.63,46.36,30.91,62.39,28.46,79.09,80.29,71.55,102.96,48.2,187.16,76.65,63.66
20130724,113.68,74.54,33.59,104.9,81.84,122.15,24.81,39.67,55.77,92.41,23.83,162.86,78.55,22.09,192.41,89.76,55.12,93.54,46.21,31.04,61.84,28.33,78.42,80.26,71.39,102.83,48.22,185.35,76.34,63.85
20130725,113.89,74.95,33.65,104.65,80.56,123.5,24.72,39.65,55.97,92.39,23.9,163.71,77.29,22.22,193,89.96,54.99,94.34,46.59,30.49,61.7,28.24,78.56,80.91,71.48,102.64,48.53,193.15,76.12,63.76
20130726,114.24,74.52,33.78,103.57,80.49,123.3,24.72,39.45,56.04,92.22,23.86,163.07,77.05,22.41,193.13,90.21,54.55,94.86,46.9,30.71,61.74,28.42,78.54,81.64,71.07,102.81,48.83,191.75,76.12,64.19
20130729,113.95,74.25,34.05,102.8,81.43,121.96,24.56,39.1,55.93,91.48,23.7,161.01,76.98,22.39,192.01,90.58,54.2,94.71,46.76,30.64,61.92,28.58,78.25,81.46,71.64,102.91,49.28,190.53,76.11,63.82
20130730,114.17,74.38,33.61,103.7,81.59,121.58,24.89,39.14,56.06,91.27,23.69,160.28,76.91,22.53,191.82,90.55,53.85,95.19,46.48,30.94,62.06,28.71,78.59,81.44,71.13,103.4,48.26,190,76.01,63.4
20130731,114.75,72.97,33.47,103.08,81.32,121.69,24.81,38.91,56.07,91.21,23.59,161.86,77.33,22.49,190.87,90.87,54.24,94.91,46.59,30.93,62.13,28.51,78.45,81.6,71.7,103.4,47.36,175.68,76.06,63.86
20130801,115.71,74.81,33.89,104.65,82.82,122.22,25.1,39.39,56.81,90.22,23.83,165.27,76.95,22.36,191.62,91.13,55.03,95.8,46.99,30.76,65.14,28.39,79.76,82.39,72.01,104.98,47.86,177.82,76.33,64.56
20130802,115.56,74.87,33.94,105.83,82.68,120.78,25.39,39.05,58.24,89.46,23.91,165.4,78.51,22.37,190.99,91.73,54.98,96,46.95,30.98,65.47,28.65,79.42,82.03,71.12,105.56,48.09,182.62,76.85,65.7
20130805,115.23,75.11,33.85,105.43,81.96,119.85,25.51,39.11,57.92,89.11,23.73,166.09,77.95,22.3,191.32,91.16,54.6,96.1,46.94,30.79,65.56,28.47,79.53,81.2,72.19,104.45,48.06,183.15,76.87,65.21
20130806,114.82,74.99,33.67,104.98,80.95,119.03,25.41,39.19,57.54,88.99,23.53,162.6,78.33,22.18,186.91,91.17,54.01,95.5,46.85,30.67,65.7,28.62,79.86,80.43,72.09,103.04,47.94,181.51,75.99,66.23
20130807,115.14,74.33,33.77,104.85,80.85,119.22,25.32,38.98,57.93,88.86,23.56,161.29,77.14,22.09,185.45,91.02,53.82,95.15,46.96,31.14,64.8,28.54,80.07,79.94,71.77,103.85,47.79,180.03,75.96,65.11
20130808,115.97,75.36,33.49,104.28,82.35,118.96,25.46,39.03,58.08,89.29,23.55,160.68,78.32,21.84,184.83,90.71,53.36,94.87,46.88,31.95,65.22,28.41,80.28,80.11,72.03,104.08,47.49,179.42,75.84,64.95
20130809,115.61,74.68,33.02,103.78,82.89,118.41,25.25,38.99,58.06,88.87,23.47,159.98,77.27,21.9,184.72,89.76,53.06,94.47,46.81,31.76,65.48,28.49,79.76,80.18,71.78,103.45,47.2,178.46,75.5,63.94
20130812,115.68,74.67,33.13,102.7,84.66,117.74,25.54,38.67,58.2,88.06,23.49,159.55,77.5,22.03,185.97,89.41,52.64,93.9,46.88,31.93,65.67,28.47,79.74,80.39,71.25,103.37,47.52,178.41,75.67,63.15
20130813,115.96,75.4,32.95,104.66,84.91,118.41,25.52,38.49,58.47,87.58,23.42,161.54,77.73,21.91,185.31,90.39,52.84,93.33,46.84,31.53,64.98,28.55,79.78,80.02,72.2,104.61,47.04,177.88,75.46,63.2
20130814,114.94,75.06,32.99,102.62,84.17,117.98,25.57,38.38,58.14,87.14,23.3,161.18,75.78,21.96,184.44,88.14,52.7,93,46.98,31.64,63.54,28.32,79.38,80.26,71.35,103.42,46.79,177.33,75.01,63.18
20130815,113.21,74.07,32.59,101.21,84.21,117.2,23.73,37.95,57.52,86.36,23.23,158.62,73.53,21.44,182.73,87.03,51.86,92.31,46.4,31.1,62.69,28.09,78.63,79.17,70.28,101.38,46.46,172.94,73.05,61.62
20130816,113.26,74.36,32.43,101.94,83.53,116.84,23.53,37.91,57.07,86.12,23.18,158.53,73.76,21.32,182.28,86.85,51.86,91.96,46.14,31.11,62.85,27.67,78.06,79.2,70.31,101.47,45.66,172.14,72.76,61.41
20130819,112.97,73.53,32.06,103.18,82.59,115.65,23.53,37.65,56.34,85.15,23.08,156.53,73.59,21.68,181.19,87.9,50.44,92.4,46.02,30.71,63.9,27.76,77.76,78.35,70.58,101.03,45.46,173.98,72.24,61.08
20130820,112.79,73.47,32.14,103.09,82.25,115.29,23.58,37.52,56.34,85.06,22.96,157.45,72.69,21.91,181.52,87.2,50.73,92.41,46,30.93,63.82,27.83,77.7,78.39,71.32,100.8,45.85,172.23,71.89,61.13
20130821,111.45,72.64,31.77,102.38,81.35,114.71,23.34,37.16,55.97,84.66,22.85,155.03,72.15,21.57,181.81,86.3,50.25,92.04,45.91,30.92,63.32,27.55,77.55,77.56,70.72,100.11,45.24,177.37,72.21,60.39
20130822,112.67,73.06,32.09,103.59,82.56,115.29,23.28,37.19,56.36,85.21,23.02,157.3,72.41,21.66,182.14,85.77,50.81,92.38,46.24,31.68,64.04,27.47,77.93,78.67,70.84,101.35,45,177.9,72.12,60.89
20130823,112.41,72.85,32.54,103.92,82.28,116.5,23.13,37.4,56.7,85.74,23.02,156.55,72.3,21.83,182.36,86.57,50.92,92.06,46.17,33.99,63.4,27.64,78.17,78.31,71.4,101.2,45.57,178.08,72.1,60.98
20130826,112.34,72.81,32.09,103.97,81.96,115.82,23.1,37.01,56.38,85.31,22.85,155.81,73.81,21.67,181.69,85.7,50.41,92.23,46.06,33.41,63.12,27.33,76.73,78.25,71.24,100.7,44.93,174,71.7,60.6
20130827,110.77,71.13,31.97,101.69,81.11,115.79,22.76,37.04,55.57,85.05,22.44,151.2,72.53,21.59,179.73,84.37,49.25,91.78,45.57,32.53,62.02,27.31,76.18,77.87,70.39,98.38,44.94,173.18,71.53,59.95
20130828,111.03,71.23,31.86,101.75,80.87,118.72,22.73,37.23,55.61,87.03,22.45,151.44,73.42,21.69,179.16,84.73,49.23,92.98,45.55,32.3,62.57,27.52,75.08,78.02,70.41,98.42,44.56,174.21,71.06,60.07
20130829,111.35,71.44,31.93,103.38,80.95,117.32,22.73,36.99,55.49,85.49,22.37,152.09,73.44,21.46,179.63,84.76,49.34,92.54,45.56,32.82,62.89,27.41,75.53,78.37,71.3,98.89,45.77,174.37,71.11,60.34
20130830,111.6,71.13,32.1,102.39,80.96,117.37,22.6,37.07,55.45,85.38,22.4,150.61,72.89,21.39,179.26,84.61,49.18,92.05,45.74,32.67,62.24,27.52,76.1,78.03,70.61,98.54,45.35,173.43,71.65,60.09
20130903,111.25,71.65,31.62,103.46,80.93,117.49,22.76,36.79,55.22,85.37,22.32,153.21,72.69,21.47,180.93,84.62,49.76,92.21,45.66,31.18,63.69,27.32,75.96,78.69,71.42,101.06,44.04,176.01,71.35,60.19
20130904,112.56,72.35,32.02,104.8,81.94,117.79,23.04,37.42,56.04,85.97,22.43,154.18,72.93,22.03,180.11,85.09,50.48,92.83,46.12,30.52,64.52,27.67,75.71,79.17,72.2,101.75,44.77,175.19,71.58,60.36
20130905,112.87,73,31.64,105.08,81.36,118.29,22.97,37.12,56.42,85.57,22.42,154.61,71.8,21.99,181.11,85.23,50.72,93.32,45.95,30.55,64.77,27.58,75.36,78.77,72.88,102.06,44.64,175.21,71.34,60.55
20130906,113.04,72.56,31.7,104.51,81.79,118.13,22.83,37.23,55.93,85.47,22.42,155.09,71.51,22.06,180.01,85.34,51.15,93.9,45.94,30.47,64.38,27.58,75.37,79.1,72.89,101.62,44.35,175.66,71.27,60.64
20130909,114.71,72.86,31.91,105.61,83.95,119.12,23.19,37.4,56.31,86.24,22.64,157.89,72.38,22.29,181.93,85.73,51.45,94.09,46.18,30.97,64.79,27.6,76.36,80.77,73.08,102.85,43.94,177.53,72.17,60.84
20130910,115.54,73.79,32.23,106.57,84.95,119.89,23.42,37.5,56.84,86.03,23.1,163.49,73.38,22.36,183.52,86.68,52.23,94.52,46.41,31.68,66.2,27.75,76.16,81.11,73.46,104.6,44.48,183.54,72.61,62.06
20130911,116.64,74.37,32.23,107.62,85.46,120.78,23.64,37.65,57.61,87.03,23.32,163.41,73.81,22.19,187.56,87.37,51.84,95.07,46.56,32.03,66.96,27.97,76.47,82.28,74.28,106.15,44.52,185.25,72.7,63.16
20130912,116.14,74.47,32.62,108.18,85.17,120.75,23.55,37.59,56.86,86.19,23.08,161.72,74.17,22.02,187.58,87.15,50.84,94.8,46.7,31.98,67.45,27.61,76.46,81.68,73.84,106.15,45.32,184.01,72.56,64.69
20130913,116.54,74.48,32.57,109.69,85.34,120.99,23.58,37.83,57.66,86.6,23.02,162.36,73.88,22.81,189,86.72,51.18,94.97,46.64,32.31,67.28,27.81,77.23,82.11,73.58,106.7,45.71,187.92,73,65.88
20130916,117.15,74.78,32.8,113.96,85.51,120.93,23.64,38,58.46,86.86,23.36,165.36,74.31,22.76,189.96,87.17,51.72,95.32,47.03,32.08,67.56,28,78.32,83.11,74.22,107.99,46.23,188.3,73.42,66.12
20130917,117.84,76.09,32.97,115.38,85.4,121.18,23.63,37.93,58.39,87.13,23.66,165.75,74.56,23.1,188.99,87.2,51.67,95.52,46.86,32.21,67.68,27.94,77.99,83.4,73.42,108.67,46.49,190.51,73.78,66.16
20130918,119.18,76.8,33.16,116.65,86.16,122.63,24.04,38.71,59.19,87.75,24.06,166.38,76.11,23.25,191.21,88.04,51.98,96.28,47.24,32.59,68.83,28.33,78.45,84.42,72.16,109.28,46.63,192.55,75.03,66.29
20130919,119.45,76.73,33.03,117.28,86.07,122.26,23.86,38.44,59.08,87.46,23.86,166.1,77.23,23.26,190.2,88.19,51.34,95.52,47.1,32.91,68.85,28.13,78.28,85.4,69.99,110.25,46.43,193.6,74.82,64.92
20130920,117.92,76.48,32.56,114.91,83.12,121.75,23.76,38.53,58.19,86.85,23.42,168.05,75.74,23.13,186.89,87.81,51.39,94.53,46.86,32.07,68.72,28.26,77.56,84.57,69.72,107.87,45.73,197.7,74.45,64.22
20130923,119,75.61,32.47,115.78,83.4,122.33,23.53,37.78,58.18,85.96,23.68,163.6,74.67,22.98,187.84,87.23,50.08,94.9,46.53,32.03,68.34,28.09,77.46,84.89,70.96,107.71,45.92,195.12,75.03,63.96
20130924,118.7,75.25,32.35,117.25,83.48,121.33,23.4,37.68,58.09,85.58,23.72,161.34,74.8,23.06,186.84,86.38,48.97,95.39,46.39,31.74,68.78,28,76.81,84.38,71.45,108.28,45.24,192.24,74.37,63.54
