,MMM,AXP,T,BA,CAT,CVX,CSCO,KO,DD,XOM,GE,GS,HD,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,V,WMT,DIS
20140219,129.76,88.37,32.01,127.67,95.65,112.64,21.92,36.53,63.84,93.32,24.97,162.16,75.57,24.29,181.89,90.36,56.51,93.99,54.21,37.25,74.36,31.2,77.52,83.03,72.94,113.47,45.53,223.46,73.91,78.87
20140220,130.76,88.54,32.33,128.84,96.35,113.63,21.94,36.73,64.92,94.73,24.91,163.39,76.59,24.53,183.19,91.09,56.82,94.18,54.96,37.49,75.11,31.27,77.3,82.83,72.87,114.48,47.08,223.04,72.6,79.19
20140221,130.77,88.28,31.96,127.56,96.93,111.73,21.78,36.61,64.44,94.39,24.74,163.39,76.85,24.21,181.73,90.89,56.85,94.87,55.18,37.71,76.01,31.18,77.35,82.81,73.2,114.81,46.25,222.94,72.2,80.13
20140224,131.39,89.45,31.64,128.87,96.75,113.18,21.77,36.93,64.15,95.79,25.08,165.42,76.97,24.42,182.39,90.48,57.27,94.92,55.33,37.43,77.36,31.71,77.24,82.47,75.38,115.91,45.23,225.76,72.43,80.73
20140225,132.12,89.44,31.35,126.07,95.85,114,21.49,37.19,64.49,95.66,25.06,162.38,80.05,24.41,182.17,90.48,56.28,95.04,55.06,37.28,77.63,31.61,77.5,82.37,74.7,115.31,45.29,226.68,72.43,80.21
20140226,132.05,89.26,31.18,125.9,96.63,114.53,21.58,37.29,65.08,95.14,25.09,162.25,80.76,24.59,182.99,90.48,56,94.32,55.42,37.21,77.93,31.71,77.24,82.46,75.43,115.53,45.35,225.68,73.84,80.08
20140227,133.52,89.81,31.41,127.84,96.13,114.71,21.57,37.49,65.56,95.19,25.29,164.82,81.03,24.55,184.2,90.73,55.94,94.32,55.8,37.59,77.77,31.95,77.57,82.87,75.39,116.03,46.48,225.85,73.63,80.48
20140228,133.91,90.8,31.11,128.2,96.4,114.35,21.45,37.62,66.18,95.62,25.26,165.88,81.09,24.55,184.1,91.48,56.07,94.39,56.13,38.04,78.05,31.83,78.04,82.86,76.63,116.44,46.55,225.51,73.76,80.81
20140303,131.4,89.5,31.05,127.5,95.75,113.87,21.23,37.54,65.46,94.86,24.91,164.18,81.06,24.29,183.19,90.93,55.47,93.57,55.56,37.52,77.15,31.7,76.87,82.21,76.46,116.18,46.29,221.02,73.19,79.46
20140304,131.87,92.12,31.33,129.5,96.45,114.34,21.47,37.73,66.82,95.87,25.44,168.16,81.92,24.4,185.36,92.69,56.51,94.22,56.19,38.14,78.37,32.4,77.83,83.13,77.48,117.01,46.87,225.07,74.19,81.71
20140305,133.03,91.65,31.31,128.07,95.81,113.46,21.52,37.76,66.8,93.17,25.72,171.32,81.96,24.29,186.06,91.95,57.39,94.26,56.02,37.84,77.18,32.46,77.2,83.38,77.35,116.83,46.36,222.39,73.86,82.68
20140306,133.26,93.03,31.51,128.14,97.03,113.88,21.47,37.88,67.05,93.13,26.01,172.01,81.46,24.42,186.55,92.25,58.12,94.82,56.39,37.88,77.97,32.17,77.44,83.91,77,117.17,46.44,223.44,73.94,83.34
20140307,133.29,93.37,31.71,127.82,96.48,114.11,21.38,37.96,66.8,94.35,25.92,173.67,81.6,24.43,186.59,92.67,58.62,94.74,56.6,37.63,79.21,32.14,77.76,83.44,76.76,117.72,46.13,225.13,74.12,82.21
20140310,132.75,93.21,31.68,126.18,96.18,114.86,21.34,38.06,66.91,94.86,25.83,172.92,81.23,24.63,185.31,92.8,58.42,94.44,56.45,37.56,78.73,32.1,77.91,83.29,77.24,117.18,46.02,225.07,73.97,81.97
20140311,131.7,92.71,31.41,124.97,96.27,113.54,21.26,38.21,65.57,93.38,25.69,169.31,80.82,24.52,185.68,92.84,57.42,97.99,55.83,37.75,78.55,32.13,78.32,83.1,77.14,115.07,45.69,226.75,74.46,81.05
20140312,131.76,92.41,31.55,123.74,96.25,114.67,21.47,38.18,65.99,93.57,25.55,169.14,80.09,24.55,185.14,92.95,57.16,97.92,55.95,38,78.72,31.7,78.61,82.95,77.24,115.23,45.36,225.67,75.07,81.38
20140313,130.01,90.21,31.52,121.21,95.05,113.48,21.18,37.69,65.28,93.01,25.13,166.13,78.34,24.36,182.84,92.36,56.66,96.59,55.37,37.62,78.28,30.85,78.56,82.11,76.65,112.33,45.04,220.36,74.47,79.93
20140314,129.04,89.7,31.66,122.42,94.83,113.13,21.01,37.89,65.34,92.84,24.9,164.79,78.92,24.29,181.16,92.17,56.05,96.8,55.28,37.44,78.07,30.95,78.35,82.18,75.35,112.04,45.09,220.35,73.82,80.07
20140317,131.46,90.78,32.05,124.72,95.11,114.1,21.17,37.98,65.94,93.68,25.22,166.27,79.12,24.49,184.73,93.28,56.82,96.82,55.84,37.78,78.73,31.14,79.21,83.06,76.4,113.84,45.31,223.36,74.22,81.39
20140318,131.93,91.11,32.14,123.35,95.85,115.26,21.28,38.11,66.36,94.07,25.44,167.52,79.36,24.61,185.73,93.29,57.3,96.53,55.94,39.27,79.39,31.65,79.14,83.46,77.64,114.11,45.69,225.98,74.31,81.99
20140319,130.43,90.25,32.12,121.56,95.48,114.22,21.28,37.86,65.63,93.1,25.07,167.61,79.29,24.81,183.64,92.94,57.53,95.33,55.57,38.99,78.9,31.43,78.16,82.72,79.59,113.44,45.36,223.4,73.92,80.52
20140320,131.62,91.21,33.22,123.04,95.65,114.53,21.48,38.16,66.14,93.94,25.06,168.64,79.62,25.21,186.81,93.47,59.32,95.83,55.17,40.05,79.02,31.63,77.7,82.75,81.15,113.2,46.19,221.4,74.92,80.81
20140321,132.31,91.04,33.42,121.9,96.82,114.65,21.29,38.15,66.54,93.67,25.19,166.38,79.95,24.96,185.59,95.27,59.38,94.71,54.25,39.88,74.97,31.9,77.26,83.29,80.96,114,45.9,222.95,75.63,80.35
20140324,131.61,90.53,33.58,122.73,96.28,114.87,21.23,38.11,66.05,94,25.2,165.16,79.2,24.91,187.16,94.54,60.27,95.41,53.38,40.22,74.62,31.21,78.67,83.37,80.9,113.18,46,220.33,76.29,79.49
20140325,133.24,90.36,33.83,123.33,98.01,116.1,21.98,38.33,66.79,94.27,25.49,162.69,79.01,25.24,193.91,96.71,60.13,95.14,54.78,40.06,73.42,31.54,79.18,83.54,80.72,114.63,46.2,217.99,76.4,79.55
20140326,132.28,89.19,33.73,122.84,97.23,116.71,21.96,38.32,66.07,94.06,25.41,161.18,78.41,25.16,191.51,96.38,59.11,95.07,55.6,39.51,72.99,31.9,78.87,82.95,81.16,114.01,46,215.27,75.76,78.62
20140327,132.03,89.52,34.07,122.52,97.87,116.67,21.67,38.53,66.13,95.59,25.6,161.74,78.22,25.09,188.73,96.61,59.13,95.39,55.31,39.08,73.09,31.82,79.02,83.01,80.64,113.23,46.66,215.36,75.67,78.48
20140328,133.38,89.98,34.17,123.77,98.81,117.5,21.97,38.66,66.18,97.04,25.67,161.75,78.26,25.4,189.35,96.77,59.25,96.46,55.56,40.02,73.31,31.6,79.13,83.5,81.24,114.24,46.4,211.69,75.54,78.99
20140331,134.83,89.56,34.17,124.79,98.79,117.9,22.06,38.37,66.66,97.02,25.68,163.29,78.67,25.59,191.38,97.55,59.91,97.25,56.35,40.7,73.63,31.84,79.96,84.61,81.61,116.26,46.54,215.45,75.96,80.07
20140401,135.7,90.69,34.19,127.49,99.23,117.99,22.93,38.12,67.31,97.07,25.66,165.36,78.92,25.77,193.37,97.26,59.87,97.12,55.95,41.13,74.16,31.67,79.7,83.9,81.46,117.33,46.72,214.3,76.3,81.57
20140402,135.17,90.15,34.47,127.59,102.03,118.34,22.82,38.04,67.67,97.29,25.83,166.7,79.49,25.67,192.43,97.55,60.06,96.81,56.04,41.06,74.31,32,79.49,84.16,81.23,119.27,46.79,214.26,76.71,81.67
20140403,135.31,90.73,34.72,128.06,101.95,118.03,22.92,37.79,67.56,97.27,26.02,165.53,78.94,26.19,191.57,97.58,60.24,96.88,55.79,40.72,73.76,32.11,79.47,84.49,81.87,119.17,47.08,214.6,76.98,81.69
20140404,135.03,88.92,34.64,126.67,101.57,117.79,22.54,37.93,66.9,96.7,25.81,162.69,78.26,25.94,190.66,97.74,59.39,97.09,55.7,39.59,72.61,31.88,79.14,84.71,81.15,117.59,47,207.31,76.83,80.43
20140407,133.58,86.36,34.58,124.89,100.52,116.35,22.68,38.33,66.32,96.13,25.64,158.02,76.68,26.26,193.39,97.21,58.59,96.23,54.78,39.52,70.61,30.92,79.85,84.51,80.7,115.6,47.08,203.03,76.83,79.13
20140408,134.02,86.25,34.82,123.46,101.79,116.8,22.77,38.61,66.35,96.79,25.54,156.03,76.66,26.68,192.17,97.38,58.44,97.3,54.63,39.54,72.69,30.6,80.71,84.24,80.28,115.19,47.7,202.21,77.7,79.57
20140409,135.01,88.48,34.47,126.17,102.39,118.09,22.94,38.7,67.07,96.67,25.74,157.62,77.31,26.75,195.5,98.27,58.86,97.56,56.67,40.19,73.33,30.95,80.84,85.32,81.01,116.46,47.47,207.15,77.49,80.47
20140410,133.15,85.13,34.67,122.95,101.66,115.7,22.48,38.6,66.03,96.13,25.37,155.45,76.33,26.2,194.55,95.87,57,98.63,55.43,39.08,72.22,30.34,80.45,84.5,79.62,113.99,46.96,201.17,76.42,77.51
20140411,131.58,84.31,34.75,121.39,100.86,116.04,22.29,38.34,65.65,96.07,25.22,152.2,75.26,25.96,194.06,96.2,54.92,98.5,55.5,38.94,71.03,29.6,80.12,84.81,78.58,113.36,46.57,196.26,76.03,77.01
20140414,132.34,85.26,34.91,122.56,102.18,117.7,22.68,38.44,66.15,97.2,25.5,154.21,75.53,26.33,196.63,96.47,54.58,99.31,55.15,38.91,72.15,29.61,80.17,85,78.81,114.37,46.77,200.63,76.9,77.62
20140415,133.27,85.8,35.22,123.58,101.9,119.28,22.72,39.88,66.46,98.01,25.61,154.39,75.45,26.54,195.88,98.51,54.42,100.02,55.63,39.47,72.05,29.63,80.2,85.39,79.14,115.26,46.42,203.67,76.41,77.66
20140416,135.94,87.16,35.64,125.34,102.93,120.8,22.86,40.29,67.27,99.27,25.91,156.69,76.13,26.7,195.26,98.07,54.88,100.02,55.84,40.12,72.87,29.82,81,86.28,77.82,117.48,46.6,208.97,76.74,78.95
20140417,136.89,85.98,35.58,127.21,102.83,122.63,23.03,40.42,66.54,99.74,26.34,156.9,76.64,26.81,188.91,98.28,54.84,99.45,56.05,39.73,73.8,29.98,81.11,86.18,75.43,117.98,47.09,207.56,77.18,79.99
20140421,137.77,86.43,35.6,127.11,102.64,123.19,23.22,40.45,66.59,100.25,26.37,157.26,77.51,26.72,191.16,99.31,54.65,98.87,56.82,39.66,73.67,30.59,80.91,85.9,74.6,117.71,47.47,208.74,77.12,79.11
20140422,138.04,86.83,35.83,126.84,103.69,122.95,23.34,40.41,66.91,99.69,26.36,159.91,79.21,26.61,191.04,99.49,55.42,98.53,57.34,39.71,74.12,30.73,80.61,86.39,75.41,118.6,47.41,209.57,77.08,79.45
20140423,137.15,86.89,34.47,129.9,103.38,123.63,23.32,40.43,66.9,99.82,26.2,159.9,78.06,26.52,190.62,99.53,55.66,98.34,57.07,39.41,73.87,30.65,80.36,87.62,74.98,119.06,46.92,208.43,77.56,79.52
20140424,135.82,87.17,34.06,129.14,105.28,123.25,23.15,40.4,66.67,99.34,26.24,160.3,79.31,26.52,189.12,99.27,55.8,99.04,57.1,39.58,73.16,30.44,81.15,88.08,76.23,118.39,45.79,209.01,77.83,79.59
20140425,135.73,86.79,34.05,127.94,104.69,122.94,22.83,40.7,66.22,99.73,26.38,157.7,78.92,26.04,188.53,99.1,55.31,99.92,56.81,39.63,72.47,30.48,81.41,87.8,75.31,116.63,45.45,198.55,78.14,78.23
20140428,136.39,86.82,34.63,126.33,104.26,124.67,22.85,40.72,66.33,100.49,26.56,156.01,79.7,26.11,192.02,100.64,55.1,99.51,56.26,40.58,71.44,31.76,82.94,89.12,75.39,117.12,46.1,201.04,79.27,77.78
20140429,136.71,87.55,34.97,127.65,105.3,124.9,22.98,40.27,66.74,100.77,26.54,157.7,79.06,26.25,193.98,100.33,55.71,100.69,58.28,40.23,72.25,31.48,82.44,90.37,74.85,116.98,46.27,202.29,79.18,78.64
20140430,138.24,87.19,35.24,128.3,105.4,124.46,22.93,40.49,66.88,101.72,26.67,159.28,79.05,26.46,195.33,100.59,55.59,100.57,58.12,40.12,72.72,31,82.55,90.06,74.69,117.74,46.23,202.23,79.22,79.34
20140501,139.95,86.58,35.13,127.74,105.07,123.88,22.84,40.48,66.32,100.73,26.55,159.82,78.87,26.22,192.41,99.83,55.33,100.15,59.17,39.72,72.69,30.87,82.34,90.3,74.6,116.22,46.72,205.7,79.21,79.56
20140502,139.27,86.69,35.17,129.21,105.01,123.66,22.77,40.64,66.41,101.32,26.46,158.34,78.94,26.19,190.33,98.62,55.19,100.62,57.78,39.41,72.76,30.48,81.92,90.47,74.68,115.94,46.62,204.03,78.63,80.31
20140505,139.75,87.12,35.3,131.22,104.52,124.3,22.79,40.46,66.95,102.22,26.36,155.82,78.23,26.17,190.15,99.31,53.84,100.33,58.19,39.15,73.06,29.7,81.7,90.13,74.88,116.24,46.89,206.74,78.14,81.22
20140506,138.44,85.96,35.04,130.1,103.87,123.91,22.55,40.19,66.75,101.98,25.98,154.01,76.97,26.2,188.93,98.82,52.97,100.14,56.68,38.79,72.02,29.17,81.13,89.36,74.91,115.43,46.96,204.97,77.53,81.03
20140507,140.28,87.74,35.3,130.35,104.62,125.16,22.7,40.6,67.6,102.41,26.31,154.99,76.63,26.37,189.3,100.21,53.67,101.14,55.42,39.14,71.95,29.02,82.09,90.54,77.55,116.33,47.59,208.31,77.96,80.29
20140508,139.97,88.38,35.94,130.57,104.94,124.03,22.85,40.43,67.65,101.63,26.22,156.86,76.6,26.34,188.91,99.8,53.98,101.13,54.42,39.36,72.82,29.17,82.16,90.71,76.53,116.44,47.97,210.5,78.69,81.6
20140509,140.48,88.6,35.97,131.1,105.06,123.97,22.85,40.56,67.33,101.95,26.2,156.67,77.26,26.3,190.08,100.21,53.64,102.11,54.8,39.26,73.22,29.03,82.39,90.77,76.59,116.41,47.96,210.41,79.2,81.95
20140512,141.95,89.41,36.1,132.6,106.2,124.18,23.01,40.52,67.74,102.23,26.63,159.01,77.81,26.37,192.57,99.82,54.27,102.04,54.88,39.69,74.4,29.13,81.73,91.51,77.38,118.04,47.65,211.3,79.15,82.42
20140513,141.56,88.85,35.74,133.45,107.15,124.78,22.69,40.8,67.69,102.36,26.7,159.74,76.82,26.45,192.19,100.32,54.24,102.7,55.33,40.42,74.36,29.2,81.61,92.37,77.67,118.15,47.34,211.66,79.14,82.08
20140514,140.74,88.22,35.93,132.99,106.53,125.35,22.64,40.58,67.72,102.29,26.54,158.91,75.87,26.33,188.72,100.17,53.98,102.21,55.95,40.24,73.35,29.1,81.17,92.11,76.81,117.32,47.5,209.86,78.74,80.92
20140515,140.12,87.36,36.05,131.21,104.99,123.81,24,40.22,66.83,100.78,26.38,156.11,75.8,26.01,186.46,99.99,53.14,101.68,55.47,39.6,72.71,29.06,80.53,91.84,76.12,115.7,47.45,207.45,76.83,80.15
20140516,140.27,87.26,36.27,130.81,106.03,123.18,24.19,40.58,67.02,100.74,26.45,155.9,76.91,25.82,187.06,99.88,52.94,102.32,55.45,39.83,73.71,29.12,80.33,92.04,76.29,114.58,48.55,209.81,77.01,80.39
20140519,140.81,87.88,35.92,131.35,105.39,122.95,24.17,40.41,67.03,100.87,26.39,157.13,76.06,26.04,187,99.94,53.46,101.27,55.93,39.75,74.26,29.28,79.93,92.23,76.84,115.02,48.63,210.36,76.61,81.05
20140520,139.37,86.85,35.05,129.58,101.56,122.5,23.94,40.28,66.69,100.67,26.08,155.82,77.51,26.04,184.89,99.56,53.35,100.72,55.58,39.68,73.03,29.25,80.23,92.13,76.3,113.1,48.13,207.92,75.69,81.09
20140521,140.66,87.62,34.82,130.96,102.88,124.16,24.29,40.56,67.22,102.03,26.27,158.81,77.63,26.2,186.39,100.44,53.74,101.74,56.16,40.35,73.98,29.57,80.49,92.32,77.36,114.84,48.65,210.1,75.66,82.19
20140522,140.31,87.91,34.93,131.84,103.08,123.63,24.2,40.28,67.51,101.5,26.29,159.31,78.32,26.15,185.68,100.96,54.17,101.63,56.07,40.1,74.64,29.66,80.65,92.47,77.97,115.04,48.92,209.37,75.39,82.35
20140523,141.14,88.54,34.87,132.41,104.03,123.37,24.33,40.28,68.1,101.32,26.29,159.62,78.72,26.29,185.94,100.98,54.15,101.18,56.38,40.12,75.61,29.49,80.52,92.32,78.4,115.54,49.21,212.07,75.61,83.32
20140527,141.44,91.14,34.76,134.17,103.68,122.84,24.52,40.47,68.16,101.36,26.35,161.22,79.23,26.71,184.78,100.81,54.76,101.54,56.27,40.19,76.37,29.61,80.08,92.95,78.74,115.85,49.09,214.5,75.59,83.74
20140528,141.43,90.81,34.89,134.33,102.91,122.52,24.63,40.28,68.41,101.06,26.44,161.19,79.22,26.88,183.08,100.3,55.07,100.49,55.98,40.01,76.03,29.61,80.1,92.92,78.21,115.95,49.21,213.8,75.53,83.6
20140529,142.39,91.03,34.94,135.14,103.6,122.32,24.49,40.36,68.97,101.27,26.52,160.74,79.44,26.96,183.76,100.76,55.33,101.34,57.27,40.34,76.38,29.6,80.4,93.56,79,116.35,49.19,214.67,75.98,84.03
20140530,142.55,91.25,35.02,135.25,102.23,122.79,24.43,40.6,69.31,100.53,26.57,159.81,79.76,27.32,184.36,101.46,55.18,101.43,57.43,40.94,76.91,29.63,80.79,92.91,79.26,116.22,49.43,214.83,76.77,84.01
20140602,142.32,91.64,34.99,135.9,103.76,122.21,24.59,40.55,69.26,99.94,26.61,160.03,80.37,27.26,185.69,102.17,54.97,102.03,57.5,40.79,76.72,29.71,80.36,93.17,79.1,117.4,49.52,213.52,76.76,84.27
20140603,142.89,91.48,34.75,135.88,104.49,122.55,24.49,40.57,68.87,100.39,26.57,161.8,80.67,27.66,184.37,102.46,55.21,101.45,57.48,40.29,75.55,29.59,79.93,92.87,79.51,117.82,48.76,211.32,76.71,83.88
20140604,142.26,91.56,34.6,135.33,104.31,122.35,24.31,40.49,69.32,100.04,26.33,162.39,80.54,27.6,184.51,102.68,55.29,102.44,57.5,40.32,76.13,29.64,79.86,94.12,80.13,117.14,48.63,211.43,77.13,84.24
20140605,143.71,92.54,34.65,136.82,106.96,123.52,24.51,40.58,69.34,100.55,26.55,162.58,80.38,27.66,185.98,103.22,56.24,102.45,57.67,41.21,75.87,29.76,80.11,94.42,79.43,118.17,48.76,212.22,77.32,84.78
20140606,144.64,94.65,34.57,138.25,108.18,124.19,24.64,40.68,69.67,101.6,26.96,166.19,80.64,28.17,186.37,103.18,56.57,101.96,57.42,41.48,76.23,29.42,80.03,94.36,79.56,118.9,48.89,213,77.21,84.61
20140609,145.32,95.31,34.56,137.96,108.75,124.37,24.61,40.6,69.43,101.52,27.22,166,80.61,27.91,186.22,103.22,57.02,101.38,57.51,41.27,76.67,29.35,80.09,94.66,79.39,120.09,49.04,212.58,77.01,85.48
20140610,144.97,95.02,34.49,137.25,109.31,125.34,24.81,40.76,69.47,101.46,27.19,166.36,80.74,28.24,184.29,104.1,57.5,100.88,58.05,41.11,76.31,29.5,80.15,95.1,79.44,119.13,48.99,214.25,76.62,84.75
20140611,144.41,94.82,34.37,134.1,108.69,125.18,24.85,40.55,68.97,101.95,26.93,165.43,79.81,27.93,182.25,103.32,56.87,100.42,58.37,40.86,75.14,29.43,80.06,94.9,79.8,118.3,48.84,212.68,76.16,84.31
20140612,143.07,94.5,34.39,132.19,106.65,126.11,24.47,40.42,68.08,101.66,26.74,165.96,78.43,27.96,181.22,102.53,56.64,99.76,58.3,40.58,74.77,29.45,79.76,95,79.44,116.85,48.52,211.77,75.73,82.8
20140613,143.36,94.59,34.58,132.29,106.77,127.26,24.51,40.37,68.3,102.65,26.82,165.89,78.07,29.87,182.56,102.53,56.64,100.49,58.24,41.23,74.62,29.53,79.64,95.41,79.18,116.79,48.66,211.29,75.28,82.8
20140616,143.32,94.11,34.53,132.54,106.81,128.54,24.34,40.66,68.11,102.92,26.6,165.85,78.9,30.01,182.35,102.45,56.48,101.1,58.07,41.5,74.55,29.61,79.69,95.46,78,116.87,48.78,210.24,75.34,83.3
20140617,143.69,94.4,34.57,132.45,106.67,128.83,24.31,40.92,67.79,102.42,26.65,168.22,80.02,29.95,182.26,101.93,57.02,101.27,58.06,41.68,75.09,29.48,79.58,95.22,78.17,117.01,48.69,210.81,74.99,83.16
20140618,144.33,95.3,34.75,132.48,107.48,130.28,24.44,41.56,67.89,102.73,26.67,169.86,80.71,29.93,183.6,102.81,57.38,101.35,58.41,41.65,76.21,29.71,79.79,95.4,79.21,117.23,48.89,211.25,75.7,83.58
20140619,144.49,94.81,34.91,132.82,107.25,131.99,24.52,41.79,67.4,102.63,26.93,169.73,80.44,30.09,182.82,103.81,56.9,101.91,58.3,41.51,75.64,29.59,80.24,95.6,80.51,117.58,48.94,210.32,75.87,83.77
20140620,145.16,95.28,34.94,132.1,109.38,132.34,24.64,41.69,68.43,103.83,26.97,169.84,80.17,30.2,181.55,105.27,57.15,101.92,58.92,41.68,75.1,29.78,79.93,94.59,81.41,117.99,48.86,209.49,75.68,82.82
20140623,144.09,95.25,34.94,130.85,108.78,132.98,24.51,41.73,67.98,104.38,26.68,170.24,80.64,30.23,182.14,104.75,57.79,101.91,58.5,41.99,75.45,29.45,79.52,94.95,81.49,117.13,49.2,209.47,75.79,82.76
20140624,143.09,94.17,34.84,129.15,107.81,131.77,24.34,41.85,67.34,102.73,26.58,168.23,80.43,30.5,180.88,104.59,57.02,101.47,57.92,41.75,74.98,29.3,79.01,94.67,81.74,115.68,48.76,207.79,75.97,82.68
20140625,143.65,94.38,34.81,127.06,108.44,131.23,24.53,41.96,67.82,102.14,26.42,168.38,80.53,30.88,180.72,105.76,57.13,101.61,58.86,42.03,76.47,29.8,79.32,94.86,82.34,116.12,48.88,209.06,75.62,83.9
20140626,143.73,94.04,34.81,128.02,108.52,130.92,24.46,42.03,67.7,102.03,26.29,168.01,80.75,30.78,180.37,105.65,56.99,101.51,58.53,41.72,76.86,29.59,78.62,94.41,82.29,115.75,48.69,208.96,74.91,84.45
20140627,143.69,94.67,34.96,128.54,108.78,130.36,24.51,42.19,65.44,101.21,26.43,166.78,81.13,30.93,181.71,104.99,57.13,101.46,57.53,42.25,77.68,29.67,79.02,93.92,82,116.58,48.79,209.28,75.34,85.3
20140630,143.24,94.61,34.91,127.23,108.67,130.55,24.66,42.36,65.44,100.68,26.28,167.44,80.96,30.9,181.27,104.62,57.22,100.74,57.85,41.7,77.55,29.68,78.59,94.07,81.75,115.45,48.41,210.71,75.07,85.74
20140701,144.56,95.09,35.03,128.15,109.17,130.54,24.89,42.29,65.41,101.36,26.4,166.81,81.82,30.98,186.35,105.87,57.57,101,58.51,41.87,78,30.08,79.28,95.21,81.89,115.93,48.84,214.25,75.28,86.47
20140702,145.23,94.95,35.21,127.62,109.56,130.23,25.03,42.29,65.36,101.57,26.61,166.89,81.98,30.98,188.39,105.86,56.97,100.53,59.05,41.9,77.79,30.37,79.56,94.62,82.49,115.14,49.13,214.84,75.62,86.44
20140703,145.41,95.58,35.38,128.51,111.08,131.19,25.19,42.23,65.8,102.59,26.86,169.46,82.05,31.14,188.53,105.42,57.05,100.98,59.2,41.8,78.45,30.53,79.98,94.84,83.35,115.53,49.18,216.51,75.75,86.84
20140707,144.91,95.14,35.56,129.09,110.16,130.47,25.23,42.14,65.64,102.65,26.75,167.78,81.42,31.03,188.04,106.47,56.67,100.17,58.52,41.99,78.65,30.49,80.19,94.55,82.22,115.1,49.22,216.74,76.07,86.59
20140708,144.56,94.31,35.56,126.79,109.46,129.9,25.07,41.94,65.33,102.83,26.37,164.91,80.76,30.79,187.22,105.72,55.76,100.09,58.17,41.78,77.67,30.15,80.56,94.14,81.93,114.07,48.76,215.26,76.65,85.86
20140709,144.68,94.74,35.65,126.79,110.14,131.39,25.44,41.95,65.04,103.55,26.32,164.67,80.73,30.89,188.42,106.04,56.02,101.07,58.55,41.67,78.69,30.05,81.67,94.7,82.74,113.84,48.9,216.16,77.21,87.22
20140710,143.89,94.46,35.7,126.79,109.36,130.25,25.44,42.26,64.94,102.57,26.2,163.42,79.4,31.26,187.7,105.8,55.56,100.58,58.58,41.69,77.5,30,81.61,94.3,82.08,113.51,49.64,215.54,77.06,86.86
20140711,144.31,94.47,35.76,128.09,109.96,128.47,25.52,41.97,64.89,101.74,26.55,164.8,79.61,31.25,188,105.1,55.8,100.37,58.44,42.09,77.29,30.07,81.16,94.68,82.87,114.13,50.32,217,76.82,86.89
